gene_id	gene_name	gene_type	SRR8114380	SRR8114381	SRR8114382	SRR8114383	SRR8114384	SRR8114385
ENSG00000101400.5	SNTA1	protein_coding	0	0	1	1	0	0	0
ENSG00000101452.15	DHX35	protein_coding	0	0	1	0	0	0	0
ENSG00000101577.9	LPIN2	protein_coding	0	0	0	1	0	0	0
ENSG00000101751.10	POLI	protein_coding	1	1	0	0	0	0	0
ENSG00000101846.7	STS	protein_coding	0	0	4	4	5	1	6
ENSG00000101977.21	MCF2	protein_coding	0	0	0	1	0	0	0
ENSG00000102001.12	CACNA1F	protein_coding	0	0	1	1	0	0	0
ENSG00000102225.16	CDK16	protein_coding	0	0	0	0	0	0	1
ENSG00000102362.15	SYTL4	protein_coding	0	0	1	0	0	0	0
ENSG00000102572.14	STK24	protein_coding	1	1	7	4	3	1	6
ENSG00000102893.16	PHKB	protein_coding	1	1	0	0	2	1	1
ENSG00000102921.8	N4BP1	protein_coding	0	0	0	0	0	0	1
ENSG00000103047.8	TANGO6	protein_coding	0	0	0	1	1	1	4
ENSG00000103197.18	TSC2	protein_coding	0	0	0	1	0	0	0
ENSG00000103227.18	LMF1	protein_coding	98	98	149	165	136	78	143
ENSG00000103260.9	METRN	protein_coding	0	0	0	0	0	0	1
ENSG00000103264.18	FBXO31	protein_coding	0	0	0	1	0	0	0
ENSG00000103769.10	RAB11A	protein_coding	0	0	10	3	5	0	5
ENSG00000104047.15	DTWD1	protein_coding	0	0	0	0	1	0	0
ENSG00000104290.11	FZD3	protein_coding	0	0	0	1	0	0	1
ENSG00000104866.11	PPP1R37	protein_coding	1	1	3	6	4	4	4
ENSG00000104953.20	TLE6	protein_coding	0	0	0	0	0	0	1
ENSG00000105136.20	ZNF419	protein_coding	1	1	0	3	1	1	0
ENSG00000105221.18	AKT2	protein_coding	0	0	0	1	0	0	0
ENSG00000105341.18	DMAC2	protein_coding	1	1	1	3	2	2	4
ENSG00000105419.18	MEIS3	protein_coding	1	1	0	0	0	0	0
ENSG00000105520.10	PLPPR2	protein_coding	2	2	1	3	2	2	1
ENSG00000105641.4	SLC5A5	protein_coding	0	0	1	3	2	0	1
ENSG00000105656.13	ELL	protein_coding	26	26	32	40	40	24	33
ENSG00000105939.13	ZC3HAV1	protein_coding	14	14	12	11	15	6	9
ENSG00000105953.15	OGDH	protein_coding	1	1	0	1	0	0	0
ENSG00000105993.15	DNAJB6	protein_coding	0	0	0	1	0	0	0
ENSG00000105997.22	HOXA3	protein_coding	3	3	5	13	9	3	9
ENSG00000106025.9	TSPAN12	protein_coding	0	0	0	0	1	0	0
ENSG00000106404.13	CLDN15	protein_coding	1	1	1	2	4	0	1
ENSG00000106603.18	COA1	protein_coding	0	0	1	0	0	0	0
ENSG00000106617.14	PRKAG2	protein_coding	0	0	0	1	0	0	0
ENSG00000106683.15	LIMK1	protein_coding	0	0	1	0	0	0	0
ENSG00000106723.17	SPIN1	protein_coding	1	1	2	1	0	1	0
ENSG00000106829.19	TLE4	protein_coding	0	0	0	0	0	1	0
ENSG00000107036.12	RIC1	protein_coding	0	0	0	1	0	0	0
ENSG00000107186.16	MPDZ	protein_coding	1	1	0	2	3	4	2
ENSG00000107242.19	PIP5K1B	protein_coding	0	0	0	0	1	0	0
ENSG00000107372.13	ZFAND5	protein_coding	0	0	0	0	0	1	0
ENSG00000107521.19	HPS1	protein_coding	3	3	4	5	5	5	4
ENSG00000107929.14	LARP4B	protein_coding	0	0	0	1	2	0	0
ENSG00000108239.9	TBC1D12	protein_coding	0	0	0	1	0	1	0
ENSG00000108389.9	MTMR4	protein_coding	0	0	0	1	0	0	0
ENSG00000108433.16	GOSR2	protein_coding	15	15	17	40	33	11	24
ENSG00000108557.19	RAI1	protein_coding	4	4	4	7	2	2	5
ENSG00000108582.12	CPD	protein_coding	1	1	0	0	0	0	0
ENSG00000108688.11	CCL7	protein_coding	0	0	1	0	0	0	0
ENSG00000108784.10	NAGLU	protein_coding	0	0	0	0	0	0	1
ENSG00000109111.15	SUPT6H	protein_coding	13	13	11	16	17	4	13
ENSG00000109519.13	GRPEL1	protein_coding	0	0	3	9	3	0	1
ENSG00000109743.11	BST1	protein_coding	1	1	11	8	10	5	6
ENSG00000109756.9	RAPGEF2	protein_coding	0	0	0	1	0	0	0
ENSG00000109805.10	NCAPG	protein_coding	1	1	0	1	0	0	0
ENSG00000110090.13	CPT1A	protein_coding	0	0	0	0	1	0	2
ENSG00000110244.7	APOA4	protein_coding	1	1	0	0	0	0	0
ENSG00000110911.16	SLC11A2	protein_coding	1	1	0	0	0	0	0
ENSG00000110955.9	ATP5F1B	protein_coding	0	0	0	0	0	0	1
ENSG00000111087.10	GLI1	protein_coding	0	0	0	0	0	1	1
ENSG00000111249.14	CUX2	protein_coding	0	0	0	0	0	0	1
ENSG00000111262.6	KCNA1	protein_coding	1	1	0	0	0	0	0
ENSG00000111816.8	FRK	protein_coding	0	0	0	0	0	0	2
ENSG00000111817.17	DSE	protein_coding	5	5	4	2	4	6	6
ENSG00000111879.20	FAM184A	protein_coding	0	0	1	0	0	0	0
ENSG00000111880.16	RNGTT	protein_coding	0	0	0	0	1	0	0
ENSG00000111897.7	SERINC1	protein_coding	89	89	137	166	139	64	126
ENSG00000112062.10	MAPK14	protein_coding	1	1	0	0	0	0	0
ENSG00000112078.14	KCTD20	protein_coding	1	1	0	0	1	0	0
ENSG00000112280.16	COL9A1	protein_coding	100	100	127	145	131	70	128
ENSG00000112293.15	GPLD1	protein_coding	0	0	0	0	2	0	0
ENSG00000112308.13	C6orf62	protein_coding	0	0	1	0	1	0	0
ENSG00000112339.15	HBS1L	protein_coding	0	0	1	0	2	0	0
ENSG00000112414.15	ADGRG6	protein_coding	0	0	0	0	1	0	0
ENSG00000112679.14	DUSP22	protein_coding	1	1	3	3	4	2	4
ENSG00000113100.10	CDH9	protein_coding	0	0	0	0	0	0	1
ENSG00000113319.13	RASGRF2	protein_coding	1	1	0	2	0	2	0
ENSG00000113360.16	DROSHA	protein_coding	1	1	0	2	1	1	2
ENSG00000113384.14	GOLPH3	protein_coding	0	0	0	1	0	0	0
ENSG00000113504.21	SLC12A7	protein_coding	0	0	2	0	3	1	1
ENSG00000113758.13	DBN1	protein_coding	0	0	0	0	1	0	0
ENSG00000114331.15	ACAP2	protein_coding	124	124	231	243	224	116	208
ENSG00000114541.15	FRMD4B	protein_coding	1	1	0	0	0	0	0
ENSG00000114779.19	ABHD14B	protein_coding	0	0	1	4	3	3	1
ENSG00000114859.16	CLCN2	protein_coding	0	0	1	0	0	0	0
ENSG00000115084.14	SLC35F5	protein_coding	1	1	0	0	0	0	0
ENSG00000115165.10	CYTIP	protein_coding	0	0	0	1	0	0	0
ENSG00000115306.16	SPTBN1	protein_coding	0	0	0	0	0	0	1
ENSG00000115414.19	FN1	protein_coding	0	0	1	1	1	0	0
ENSG00000115761.16	NOL10	protein_coding	0	0	1	0	0	0	0
ENSG00000115956.10	PLEK	protein_coding	21	21	40	45	46	17	36
ENSG00000116016.14	EPAS1	protein_coding	0	0	3	0	6	1	1
ENSG00000116151.14	MORN1	protein_coding	0	0	0	0	1	0	0
ENSG00000116209.12	TMEM59	protein_coding	1	1	0	0	0	0	0
ENSG00000116285.13	ERRFI1	protein_coding	0	0	0	1	0	0	0
ENSG00000116752.6	BCAS2	protein_coding	1	1	0	0	0	0	0
ENSG00000116819.8	TFAP2E	protein_coding	0	0	1	0	0	0	0
ENSG00000116833.14	NR5A2	protein_coding	0	0	0	0	0	0	1
ENSG00000116882.14	HAO2	protein_coding	0	0	3	3	1	1	2
ENSG00000117013.17	KCNQ4	protein_coding	2	2	7	3	4	2	2
ENSG00000117245.12	KIF17	protein_coding	2	2	5	2	2	1	4
ENSG00000117407.17	ARTN	protein_coding	0	0	0	1	0	0	0
ENSG00000117601.13	SERPINC1	protein_coding	0	0	0	1	0	0	0
ENSG00000117713.20	ARID1A	protein_coding	0	0	1	1	0	0	0
ENSG00000118432.12	CNR1	protein_coding	6	6	4	5	5	2	11
ENSG00000118785.14	SPP1	protein_coding	0	0	0	1	0	0	0
ENSG00000119760.16	SUPT7L	protein_coding	0	0	0	1	0	0	0
ENSG00000119866.22	BCL11A	protein_coding	1	1	1	0	1	0	1
ENSG00000119946.11	CNNM1	protein_coding	0	0	0	1	0	0	0
ENSG00000120071.14	KANSL1	protein_coding	0	0	1	0	0	0	0
ENSG00000120129.6	DUSP1	protein_coding	0	0	0	0	1	0	0
ENSG00000120256.11	LRP11	protein_coding	3	3	12	4	9	4	8
ENSG00000120341.18	SEC16B	protein_coding	0	0	1	0	0	0	0
ENSG00000120500.18	ARR3	protein_coding	0	0	0	1	0	0	0
ENSG00000120708.17	TGFBI	protein_coding	0	0	0	1	0	0	0
ENSG00000120910.14	PPP3CC	protein_coding	0	0	0	0	1	0	0
ENSG00000121274.12	TENT4B	protein_coding	0	0	0	0	1	0	0
ENSG00000121289.18	CEP89	protein_coding	3	3	4	0	0	3	2
ENSG00000121297.8	TSHZ3	protein_coding	2	2	1	3	0	0	2
ENSG00000121446.20	RGSL1	protein_coding	0	0	1	3	1	2	1
ENSG00000121904.17	CSMD2	protein_coding	1	1	1	2	3	2	5
ENSG00000122257.20	RBBP6	protein_coding	4	4	7	5	4	4	2
ENSG00000122515.15	ZMIZ2	protein_coding	22	22	38	51	38	20	44
ENSG00000122550.18	KLHL7	protein_coding	35	35	48	62	55	20	45
ENSG00000122565.19	CBX3	protein_coding	0	0	1	1	0	0	0
ENSG00000123374.11	CDK2	protein_coding	5	5	2	11	8	4	9
ENSG00000123384.14	LRP1	protein_coding	0	0	0	1	0	0	0
ENSG00000123415.15	SMUG1	protein_coding	0	0	1	0	0	0	0
ENSG00000123560.14	PLP1	protein_coding	0	0	0	1	0	0	0
ENSG00000123607.15	TTC21B	protein_coding	0	0	0	0	0	0	1
ENSG00000123843.13	C4BPB	protein_coding	0	0	0	1	0	0	0
ENSG00000124067.17	SLC12A4	protein_coding	0	0	0	0	0	0	1
ENSG00000124134.9	KCNS1	protein_coding	2	2	0	0	0	0	0
ENSG00000124253.11	PCK1	protein_coding	0	0	0	1	0	0	0
ENSG00000124256.15	ZBP1	protein_coding	0	0	0	1	0	0	0
ENSG00000124574.15	ABCC10	protein_coding	2	2	1	1	2	1	3
ENSG00000124641.16	MED20	protein_coding	0	0	0	0	1	0	0
ENSG00000124731.13	TREM1	protein_coding	0	0	1	0	0	0	0
ENSG00000125571.9	IL37	protein_coding	0	0	0	1	0	0	0
ENSG00000125731.13	SH2D3A	protein_coding	0	0	0	1	0	0	0
ENSG00000125753.14	VASP	protein_coding	3	3	0	3	4	1	3
ENSG00000125999.11	BPIFB1	protein_coding	1	1	5	4	3	2	7
ENSG00000126583.11	PRKCG	protein_coding	0	0	0	0	0	0	1
ENSG00000126822.17	PLEKHG3	protein_coding	0	0	0	1	0	0	0
ENSG00000126838.10	PZP	protein_coding	0	0	0	0	1	0	0
ENSG00000127334.10	DYRK2	protein_coding	0	0	1	1	1	2	1
ENSG00000127419.17	TMEM175	protein_coding	0	0	0	0	0	1	0
ENSG00000127603.27	MACF1	protein_coding	2	2	3	4	2	4	2
ENSG00000127838.14	PNKD	protein_coding	1	1	1	0	0	0	0
ENSG00000128165.9	ADM2	protein_coding	0	0	1	0	0	0	0
ENSG00000128228.5	SDF2L1	protein_coding	0	0	0	0	0	1	0
ENSG00000128268.12	MGAT3	protein_coding	3	3	2	2	3	2	3
ENSG00000128573.25	FOXP2	protein_coding	3	3	5	3	7	2	4
ENSG00000128694.12	OSGEPL1	protein_coding	2	2	7	7	4	2	3
ENSG00000128829.12	EIF2AK4	protein_coding	0	0	0	1	0	0	1
ENSG00000128923.11	MINDY2	protein_coding	0	0	0	1	0	0	0
ENSG00000129354.11	AP1M2	protein_coding	0	0	0	1	0	1	0
ENSG00000129484.13	PARP2	protein_coding	0	0	0	1	0	0	0
ENSG00000129925.11	TMEM8A	protein_coding	0	0	0	1	0	0	0
ENSG00000130054.4	FAM155B	protein_coding	0	0	0	1	0	0	1
ENSG00000130396.20	AFDN	protein_coding	0	0	0	0	1	0	0
ENSG00000130589.16	HELZ2	protein_coding	6	6	15	13	10	8	11
ENSG00000130699.18	TAF4	protein_coding	51	51	72	84	79	35	66
ENSG00000130939.20	UBE4B	protein_coding	1	1	0	0	0	0	0
ENSG00000130940.15	CASZ1	protein_coding	2	2	4	0	4	3	3
ENSG00000130956.14	HABP4	protein_coding	1	1	4	8	6	1	1
ENSG00000131061.14	ZNF341	protein_coding	1	1	1	2	4	0	1
ENSG00000131171.13	SH3BGRL	protein_coding	2	2	8	3	4	3	3
ENSG00000131398.14	KCNC3	protein_coding	0	0	0	0	1	0	0
ENSG00000131759.18	RARA	protein_coding	0	0	2	0	0	0	0
ENSG00000131979.19	GCH1	protein_coding	0	0	4	3	3	1	2
ENSG00000132185.16	FCRLA	protein_coding	1	1	0	1	1	0	2
ENSG00000132205.11	EMILIN2	protein_coding	1	1	1	1	2	1	0
ENSG00000132466.19	ANKRD17	protein_coding	0	0	0	0	1	0	0
ENSG00000132604.11	TERF2	protein_coding	1	1	1	5	3	1	0
ENSG00000132693.12	CRP	protein_coding	0	0	0	2	2	0	0
ENSG00000132821.12	VSTM2L	protein_coding	11	11	21	18	13	9	17
ENSG00000132825.7	PPP1R3D	protein_coding	0	0	0	0	1	0	0
ENSG00000132855.5	ANGPTL3	protein_coding	0	0	0	0	1	0	0
ENSG00000133027.18	PEMT	protein_coding	0	0	0	0	0	0	1
ENSG00000133048.13	CHI3L1	protein_coding	1	1	0	0	0	0	0
ENSG00000133056.13	PIK3C2B	protein_coding	1	1	0	0	0	0	0
ENSG00000133112.16	TPT1	protein_coding	1	1	0	0	0	0	0
ENSG00000133318.14	RTN3	protein_coding	0	0	0	1	0	0	0
ENSG00000133392.18	MYH11	protein_coding	0	0	0	0	1	0	0
ENSG00000133606.11	MKRN1	protein_coding	0	0	1	0	0	0	0
ENSG00000133639.5	BTG1	protein_coding	0	0	0	0	1	0	0
ENSG00000134046.12	MBD2	protein_coding	0	0	0	1	0	0	0
ENSG00000134061.5	CD180	protein_coding	202	202	331	362	338	172	287
ENSG00000134121.10	CHL1	protein_coding	0	0	0	1	0	0	0
ENSG00000134207.16	SYT6	protein_coding	2	2	1	0	6	0	1
ENSG00000134240.11	HMGCS2	protein_coding	0	0	0	1	0	0	0
ENSG00000134291.12	TMEM106C	protein_coding	3	3	8	11	3	2	4
ENSG00000134333.14	LDHA	protein_coding	0	0	0	0	1	0	0
ENSG00000134352.20	IL6ST	protein_coding	2	2	0	0	0	0	0
ENSG00000134363.12	FST	protein_coding	0	0	1	0	0	0	0
ENSG00000134504.14	KCTD1	protein_coding	3	3	1	1	2	0	2
ENSG00000134644.15	PUM1	protein_coding	1	1	0	0	0	0	0
ENSG00000134809.9	TIMM10	protein_coding	0	0	0	1	0	0	0
ENSG00000134824.14	FADS2	protein_coding	0	0	0	1	0	0	0
ENSG00000134871.19	COL4A2	protein_coding	0	0	1	2	5	0	2
ENSG00000134882.16	UBAC2	protein_coding	1	1	2	4	1	3	5
ENSG00000134900.12	TPP2	protein_coding	0	0	2	0	1	1	0
ENSG00000135624.16	CCT7	protein_coding	0	0	0	1	0	0	0
ENSG00000135655.16	USP15	protein_coding	1	1	1	3	1	1	5
ENSG00000135829.17	DHX9	protein_coding	0	0	1	0	0	0	0
ENSG00000135870.11	RC3H1	protein_coding	2	2	2	5	5	0	3
ENSG00000135916.16	ITM2C	protein_coding	0	0	0	0	1	0	0
ENSG00000136052.9	SLC41A2	protein_coding	1	1	0	0	0	0	0
ENSG00000136156.15	ITM2B	protein_coding	0	0	1	0	0	0	0
ENSG00000136231.14	IGF2BP3	protein_coding	2	2	4	2	4	2	1
ENSG00000136237.19	RAPGEF5	protein_coding	0	0	0	1	0	0	0
ENSG00000136715.18	SAP130	protein_coding	0	0	1	0	0	0	0
ENSG00000136802.11	LRRC8A	protein_coding	0	0	0	0	0	1	0
ENSG00000136872.20	ALDOB	protein_coding	0	0	0	0	0	1	0
ENSG00000136925.15	TSTD2	protein_coding	2	2	0	0	0	0	0
ENSG00000137310.12	TCF19	protein_coding	0	0	0	1	0	0	0
ENSG00000137509.11	PRCP	protein_coding	4	4	7	10	4	0	4
ENSG00000137815.14	RTF1	protein_coding	0	0	0	0	1	0	1
ENSG00000137868.19	STRA6	protein_coding	0	0	0	0	0	0	1
ENSG00000137992.14	DBT	protein_coding	0	0	0	0	0	1	0
ENSG00000138018.18	SELENOI	protein_coding	1	1	2	4	1	1	0
ENSG00000138029.14	HADHB	protein_coding	1	1	0	0	0	0	0
ENSG00000138078.15	PREPL	protein_coding	0	0	0	0	0	1	0
ENSG00000138095.19	LRPPRC	protein_coding	3	3	0	1	1	0	3
ENSG00000138109.11	CYP2C9	protein_coding	1	1	0	0	0	0	0
ENSG00000138744.16	NAAA	protein_coding	0	0	0	0	0	0	1
ENSG00000138834.12	MAPK8IP3	protein_coding	3	3	2	6	7	3	3
ENSG00000139182.15	CLSTN3	protein_coding	0	0	0	0	0	0	1
ENSG00000139351.15	SYCP3	protein_coding	0	0	0	0	0	0	1
ENSG00000139977.14	NAA30	protein_coding	0	0	0	0	1	0	0
ENSG00000140264.19	SERF2	protein_coding	0	0	0	0	1	0	0
ENSG00000140323.6	DISP2	protein_coding	0	0	0	1	0	0	0
ENSG00000140396.13	NCOA2	protein_coding	0	0	0	1	0	0	0
ENSG00000140534.14	TICRR	protein_coding	0	0	2	0	0	0	0
ENSG00000140807.7	NKD1	protein_coding	0	0	0	0	1	0	0
ENSG00000141084.11	RANBP10	protein_coding	0	0	0	0	0	0	1
ENSG00000141279.16	NPEPPS	protein_coding	0	0	0	0	0	1	0
ENSG00000141985.9	SH3GL1	protein_coding	0	0	0	0	0	1	0
ENSG00000142173.15	COL6A2	protein_coding	0	0	0	0	1	0	1
ENSG00000142192.21	APP	protein_coding	0	0	0	0	0	1	0
ENSG00000142528.16	ZNF473	protein_coding	0	0	2	3	0	1	0
ENSG00000143149.12	ALDH9A1	protein_coding	0	0	0	0	0	0	1
ENSG00000143379.12	SETDB1	protein_coding	0	0	0	0	1	0	0
ENSG00000143469.19	SYT14	protein_coding	0	0	1	0	0	0	0
ENSG00000143575.14	HAX1	protein_coding	0	0	0	0	0	0	1
ENSG00000143622.11	RIT1	protein_coding	0	0	1	0	0	0	0
ENSG00000143624.14	INTS3	protein_coding	13	13	36	36	27	12	37
